SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED,,Start,End
856,Higgins,NW,Oak Park,Harlem,0.56,W,,-87.79645775,41.97900582,-87.80695539,41.98127116,-1,10/15/16 11:50 PM,,"-87.7964577516, 41.9790058174","41.9790058174, -87.8069553878"
970,Pershing,EB,Dan Ryan Expy,State,0.38,W,,-87.63050842,41.82371453,-87.62644842,41.82381853,-1,10/15/16 11:50 PM,,"-87.63050842, 41.82371453","41.82371453, -87.62644842"
882,LaSalle,SB,Clark,North Ave,0.12,N,,-87.632854,41.913172,-87.63332787,41.91116103,-1,10/15/16 11:50 PM,,"-87.632854, 41.913172","41.913172, -87.6333278653"
972,Pershing,EB,Dr Martin L King Jr,Cottage Grove,0.52,E,,-87.61699842,41.82387853,-87.60689442,41.82387853,-1,10/15/16 11:50 PM,,"-87.61699842, 41.82387853","41.82387853, -87.60689442"
884,LaSalle,WB,Lake Shore Dr,Stockton,0.28,E,,-87.6265993,41.912942,-87.6319114,41.91338323,-1,10/15/16 11:50 PM,,"-87.6265992962, 41.9129419995","41.9129419995, -87.6319113969"
816,Stony Island,SB,59th,63rd,0.5,S,,-87.58684211,41.78788199,-87.58662112,41.78065479,29,10/15/16 11:50 PM,,"-87.5868421143, 41.7878819901","41.7878819901, -87.5866211188"
948,Milwaukee,SE,Touhy,Devon,1.2,N,,-87.80143906,42.01196857,-87.78807425,41.99735305,-1,10/15/16 11:50 PM,,"-87.8014390602, 42.0119685688","42.0119685688, -87.7880742452"
943,Milwaukee,SE,Lawrence,Montrose,0.59,N,,-87.76095888,41.96784533,-87.75467303,41.9606343,-1,10/15/16 11:50 PM,,"-87.7609588782, 41.9678453326","41.9678453326, -87.7546730264"
938,Milwaukee,SE,Diversey,Fullerton,0.79,N,,-87.71243366,41.93195317,-87.70059031,41.92479169,-1,10/15/16 11:50 PM,,"-87.7124336581, 41.9319531692","41.9319531692, -87.700590308"
847,Harlem,SB,Pratt,Devon,0.46,N,,-87.80688836,42.00446642,-87.80698096,41.99777612,-1,10/15/16 11:50 PM,,"-87.8068883617, 42.0044664214","42.0044664214, -87.8069809576"
828,Harlem,NB,Foster,Bryn Mawr,0.5,N,,-87.80683435,41.97546645,-87.80675542,41.98277677,-1,10/15/16 11:50 PM,,"-87.8068343518, 41.9754664535","41.9754664535, -87.8067554164"
1054,Washington,EB,Wacker,Michigan,0.64,W,,-87.63702646,41.88314431,-87.62442391,41.88319861,25,10/15/16 11:50 PM,,"-87.6370264614, 41.883144306","41.883144306, -87.6244239148"
931,Milwaukee,NW,Peterson,Devon,0.61,N,,-87.78085064,41.99019463,-87.78770639,41.9973513,-1,10/15/16 11:50 PM,,"-87.7808506377, 41.9901946296","41.9901946296, -87.7877063878"
867,Jefferson,NB,Madison,Randolph,0.35,N,,-87.64245651,41.88178555,-87.64262073,41.88448375,-1,10/15/16 11:50 PM,,"-87.6424565074, 41.8817855514","41.8817855514, -87.6426207291"
930,Milwaukee,NW,Armitage,Fullerton,0.79,N,,-87.6883646,41.91756851,-87.70022285,41.92478966,-1,10/15/16 11:50 PM,,"-87.6883646017, 41.9175685137","41.9175685137, -87.7002228515"
813,Stony Island,SB,71st,75th,0.5,S,,-87.58628216,41.76608783,-87.5861129,41.75878558,-1,10/15/16 11:50 PM,,"-87.5862821566, 41.7660878258","41.7660878258, -87.5861128958"
950,Washington,WB,California,Kedzie,0.5,W,,-87.69633369,41.88303493,-87.70616912,41.88293153,-1,10/15/16 11:50 PM,,"-87.696333691, 41.8830349349","41.8830349349, -87.7061691246"
839,Harlem,SB,Diversey,Grand,0.47,N,,-87.80665298,41.93081387,-87.80642863,41.92399357,-1,10/15/16 11:50 PM,,"-87.8066529833, 41.9308138672","41.9308138672, -87.8064286323"
809,Stony Island,SB,87th,91st,0.5,S,,-87.58560491,41.73691584,-87.5854358,41.72961356,28,10/15/16 11:50 PM,,"-87.5856049147, 41.7369158383","41.7369158383, -87.5854357956"
