SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED
102,Ashland,NB,79th,71st,1,S,,-87.66325414,41.75035601,-87.66361272,41.76490796,22,12/21/16 10:50 PM
103,Ashland,NB,71st,67th,0.5,S,,-87.66361272,41.76490796,-87.66383784,41.77219095,-1,12/21/16 10:50 PM
104,Ashland,NB,67th,63rd,0.5,S,,-87.66383784,41.77219095,-87.66403746,41.7794635,28,12/21/16 10:50 PM
105,Ashland,NB,63rd,59th,0.5,S,,-87.66403746,41.7794635,-87.66421117,41.78674577,28,12/21/16 10:50 PM
106,Ashland,NB,59th,55th,0.5,S,,-87.66421117,41.78674577,-87.66439847,41.7940233,-1,12/21/16 10:50 PM
107,Ashland,NB,55th,51st,0.5,S,,-87.66439847,41.7940233,-87.66459311,41.80131715,-1,12/21/16 10:50 PM
108,Ashland,NB,51st,47th,0.5,S,,-87.66459311,41.80131715,-87.66478913,41.80860337,30,12/21/16 10:50 PM
109,Ashland,NB,47th,43rd,0.5,S,,-87.66478913,41.80860337,-87.66496478,41.81586973,17,12/21/16 10:50 PM
110,Ashland,NB,43rd,Pershing,0.5,S,,-87.66496478,41.81586973,-87.66512483,41.82315086,-1,12/21/16 10:50 PM
111,Ashland,NB,Pershing,35th,0.5,S,,-87.66512483,41.82315086,-87.6653848,41.83050029,-1,12/21/16 10:50 PM
112,Ashland,NB,35th,Archer,0.5,S,,-87.6653848,41.83050029,-87.66555814,41.83768279,-1,12/21/16 10:50 PM
113,Ashland,NB,Archer,Cermak,1,S,,-87.66555814,41.83768279,-87.66584071,41.85232999,27,12/21/16 10:50 PM
114,Ashland,NB,Cermak,18th,0.4,S,,-87.66584071,41.85232999,-87.6659546,41.85779268,23,12/21/16 10:50 PM
115,Ashland,NB,18th,Roosevelt,0.6,S,,-87.6659546,41.85779268,-87.6662,41.86686042,25,12/21/16 10:50 PM
116,Ashland,NB,Roosevelt,Harrison,0.5,S,,-87.6662,41.86686042,-87.66641535,41.87419937,26,12/21/16 10:50 PM
117,Ashland,NB,Harrison,Washington,0.6,S,,-87.66641535,41.87419937,-87.6666878,41.88329791,22,12/21/16 10:50 PM
118,Ashland,NB,Washington,Grand,0.53,N,,-87.6666878,41.88329791,-87.66695901,41.89097633,-1,12/21/16 10:50 PM
119,Ashland,NB,Grand,Chicago,0.35,N,,-87.66695901,41.89097633,-87.66710788,41.89607257,-1,12/21/16 10:50 PM
120,Ashland,NB,Chicago,Milwaukee,0.55,N,,-87.66710788,41.89607257,-87.66732946,41.90401613,19,12/21/16 10:50 PM
121,Ashland,NB,Milwaukee,North Ave,0.45,N,,-87.66732946,41.90401613,-87.66750794,41.91062922,25,12/21/16 10:50 PM
122,Ashland,NB,North Ave,Elston,0.55,N,,-87.66750794,41.91062922,-87.66790927,41.9185457,21,12/21/16 10:50 PM
123,Ashland,NB,Elston,Fullerton,0.45,N,,-87.66790927,41.9185457,-87.66796209,41.92515052,22,12/21/16 10:50 PM
124,Ashland,NB,Fullerton,Diversey,0.5,N,,-87.66796209,41.92515052,-87.66821027,41.93240248,20,12/21/16 10:50 PM
125,Ashland,NB,Diversey,Belmont,0.5,N,,-87.66821027,41.93240248,-87.66847791,41.93969544,-1,12/21/16 10:50 PM
126,Ashland,NB,Belmont,Addison,0.5,N,,-87.66847791,41.93969544,-87.66867435,41.94698905,-1,12/21/16 10:50 PM
127,Ashland,NB,Addison,Irving Park,0.5,N,,-87.66867435,41.94698905,-87.66886505,41.95428929,-1,12/21/16 10:50 PM
128,Ashland,NB,Irving Park,Montrose,0.5,N,,-87.66886505,41.95428929,-87.66907431,41.9615905,-1,7/21/10 2:50 PM
129,Ashland,NB,Montrose,Lawrence,0.5,N,,-87.66907431,41.9615905,-87.66925524,41.96887592,-1,12/21/16 10:50 PM
130,Ashland,NB,Lawrence,Foster,0.5,N,,-87.66925524,41.96887592,-87.6694299,41.97617107,-1,7/21/10 2:50 PM
131,Ashland,NB,Foster,Bryn Mawr,0.5,N,,-87.6694299,41.97617107,-87.66963224,41.98347478,-1,12/21/16 10:50 PM
132,Ashland,NB,Bryn Mawr,Clark,0.23,N,,-87.66963224,41.98347478,-87.66952653,41.98675189,-1,12/21/16 10:50 PM
133,Ashland,SB,91st,95th,0.5,S,,-87.66303474,41.72848324,-87.66286655,41.72121624,28,12/21/16 10:50 PM
134,Ashland,SB,87th,91st,0.5,S,,-87.66324831,41.73579085,-87.66303474,41.72848324,30,12/21/16 10:50 PM
135,Ashland,SB,83rd,87th,0.5,S,,-87.66343476,41.74307783,-87.66324831,41.73579085,26,12/21/16 10:50 PM
136,Ashland,SB,79th,83rd,0.5,S,,-87.66362058,41.75035815,-87.66343476,41.74307783,28,12/21/16 10:50 PM
137,Ashland,SB,71st,79th,1,S,,-87.66397925,41.7649101,-87.66362058,41.75035815,32,12/21/16 10:50 PM
138,Ashland,SB,67th,71st,0.5,S,,-87.66420442,41.77219308,-87.66397925,41.7649101,21,12/21/16 10:50 PM
139,Ashland,SB,63rd,67th,0.5,S,,-87.66440407,41.77946564,-87.66420442,41.77219308,27,12/21/16 10:50 PM
140,Ashland,SB,59th,63rd,0.5,S,,-87.66457782,41.78674791,-87.66440407,41.77946564,27,12/21/16 10:50 PM
141,Ashland,SB,55th,59th,0.5,S,,-87.66476516,41.79402543,-87.66457782,41.78674791,29,12/21/16 10:50 PM
